,회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,탈퇴여부,연령대,구,동
0,1000012800,정상회원,수지구-풍덕천동,여,58.0,미신청,.,normal,정상,50대,수지구,풍덕천동
1,1000103744,정상회원,처인구-고림동,여,34.0,미신청,.,normal,정상,30대,처인구,고림동
2,1000122304,정상회원,광주-기타,여,38.0,미신청,.,normal,정상,30대,광주,기타
3,1000163136,정상회원,수지구-동천동,여,73.0,미신청,.,normal,정상,70대,수지구,동천동
4,1000281920,정상회원,수지구-풍덕천동,여,42.0,신청,.,normal,정상,40대,수지구,풍덕천동
5,1000330176,정상회원,수지구-신봉동,여,64.0,미신청,.,normal,정상,60대,수지구,신봉동
6,1000491648,정상회원,수지구-동천동,여,37.0,미신청,.,normal,정상,30대,수지구,동천동
7,1000508352,정상회원,기흥구-상하동,여,35.0,미신청,.,normal,정상,30대,기흥구,상하동
8,1000565888,정상회원,수지구-상현동,여,52.0,미신청,.,normal,정상,50대,수지구,상현동
9,1000577024,정상회원,기타-기타,여,47.0,미신청,.,normal,정상,40대,기타,기타
10,1000796032,정상회원,수지구-동천동,여,40.0,미신청,.,normal,정상,40대,수지구,동천동
11,1000807168,정상회원,수지구-동천동,여,39.0,미신청,.,normal,정상,30대,수지구,동천동
12,1001042880,정상회원,수지구-신봉동,여,42.0,미신청,.,normal,정상,40대,수지구,신봉동
13,1001111552,정상회원,수지구-풍덕천동,여,47.0,미신청,.,normal,정상,40대,수지구,풍덕천동
14,100134912,정상회원,수지구-성복동,여,49.0,미신청,.,normal,정상,40대,수지구,성복동
15,1001440064,정상회원,수지구-동천동,여,50.0,미신청,.,normal,정상,50대,수지구,동천동
16,1001592256,정상회원,수지구-성복동,여,40.0,미신청,.,normal,정상,40대,수지구,성복동
17,1001595968,정상회원,수지구-동천동,여,50.0,미신청,.,normal,정상,50대,수지구,동천동
18,1001677632,정상회원,수지구-동천동,여,78.0,미신청,.,normal,정상,70대,수지구,동천동
19,1001707328,정상회원,수지구-동천동,여,42.0,미신청,.,normal,정상,40대,수지구,동천동
20,1001712896,정상회원,수지구-신봉동,여,49.0,미신청,.,normal,정상,40대,수지구,신봉동
21,1001714752,정상회원,수지구-동천동,여,52.0,미신청,.,normal,정상,50대,수지구,동천동
22,1001744448,정상회원,수지구-풍덕천동,여,46.0,미신청,.,normal,정상,40대,수지구,풍덕천동
